user,avg_daily_device_connections,late_hour_device_use,missing_disconnects,distinct_pcs_used,above_avg_daily_counter,ratio_of_above_avg_days,risk_score_1,emails_sent_per_day,unique_recipients_count,external_emails_ratio,attachment_count_avg,emails_sent_off_hours,bcc_usage_rate,risk_score_2,total_files_copied,active_days,avg_files_copied_per_day,filetype_doc,filetype_exe,filetype_jpg,filetype_pdf,filetype_txt,filetype_zip,after_hours_file_copy_ratio,risk_score_3,avg_urls_per_day,avg_malicious_urls_per_day,total_malicious_urls,avg_distinct_domains_per_day,avg_after_hours_browsing_per_day,risk_score_4,avg_logon_time_hours,avg_logoff_time_hours,logon_std_dev_hours,after_hours_logons,weekend_logons,logons_on_other_user_pcs,risk_score_5,total_risk_score,never_used_device,onboarding_hour,onboarding_month,onboarding_weekday,odd_onboarding,label,avg_daily_device_connections_log,late_hour_device_use_log,missing_disconnects_log,distinct_pcs_used_log,above_avg_daily_counter_log,emails_sent_off_hours_log,total_files_copied_log,active_days_log,avg_files_copied_per_day_log,filetype_doc_log,filetype_exe_log,filetype_jpg_log,filetype_pdf_log,filetype_txt_log,filetype_zip_log,avg_malicious_urls_per_day_log,total_malicious_urls_log,avg_after_hours_browsing_per_day_log,logon_std_dev_hours_log,after_hours_logons_log,weekend_logons_log,logons_on_other_user_pcs_log,after_hours_intensity,file_risk_composite,email_exfil_score,device_anomaly_score,logon_suspicion
ATE0869,1.25,0,1,1,41,0.244047619,0,15.53512397,1011.37,0.468514466,0.60260673,5,0.741055991,0.8,522,137,3.810218978,337,2,28,102,26,27,0,0.6,147.3333333,10.88888889,196,43.44444444,0,1,9.882000431,17.29275869,2.665097341,10,233.08,29,1.8,4.2,0,13,1,6,0,1,0.810930216,0,0.693147181,0.693147181,3.737669618,1.791759469,6.259581464,4.927253685,1.570742609,5.823045895,1.098612289,3.36729583,4.634728988,3.295836866,3.33220451,2.475604257,5.283203729,0,1.298854895,2.397895273,5.455662937,3.401197382,15,60,4.386031089,3,301.08
ATP0662,1.563492063,0,4,1,22,0.087301587,0,13.68096515,806,0.466035701,0.748383304,72,0.487948266,0.6,1273,236,5.394067797,827,6,64,248,64,64,0,0.6,135,3.083333333,37,38.61538462,3,0.6,11.18847367,16.65269079,3.756051924,68,48,23,1.8,3.6,0,13,1,0,0,1,0.941370416,0,1.609437912,0.693147181,3.135494216,4.290459441,7.149916836,5.468060141,1.855370654,6.719013154,1.945910149,4.17438727,5.517452896,4.17438727,4.17438727,1.406913648,3.63758616,1.386294361,1.559417896,4.234106505,3.891820298,3.17805383,848,146,4.771555882,9,162
AVM0947,8.641647399,0,12,1,3,0.00867052,0.1,1,136,0.310645724,0.21958457,0,0,0.2,7701,346,22.25722543,4901,57,429.01,1520,388,403,0,0.8,8.5,1.571428571,11,6.333333333,0,0,7.347648148,15.71228667,0.836839875,0,0,29,0.6,1.7,0,7,1,0,0,0,2.266091986,0,2.564949357,0.693147181,1.386294361,0,8.949235314,5.84932478,3.146615855,8.497398564,4.060443011,6.063808464,7.327123292,5.963579344,6.001414878,0.944461609,2.48490665,0,0.608046636,0,0,3.401197382,0,977,0.068213008,25,58
BAJ0654,1.206896552,13,1,1,22,0.189655172,0.2,2.9,244,0.337871287,0.524340771,223,0,0.6,2919,116,25.06456166,1874,16,152,584,146,147,0.12915382,1,27,1.5,9,14.25,5.727272727,0.2,10.27233749,20.99414161,3.05262439,24,0,42,1.5,3.5,0,16,1,0,0,1,0.791587253,2.63905733,0.693147181,0.693147181,3.135494216,5.411646052,7.979338895,4.762173935,3.260576601,7.536363938,2.833213344,5.030437921,6.371611847,4.990432587,4.997212274,0.916290732,2.302585093,1.90616982,1.399364669,3.218875825,0,3.761200116,911.3636364,343.2915382,0.513763104,16,108
BAL0044,3.294460641,365.29,2,4.89,80,0.233236152,0.4,10.74418605,579,0.445653967,0.654220779,0,0.49512987,0.4,2900,288,10.06944444,1870,20,132,547,173,158,0.576551724,0.8,112.1666667,9.75,117,34.25,0,1,11.25211088,13.10589558,6.797128907,741,2,1048.03,1.8,4.4,0,5,1,0,1,1,1.457325969,5.903425369,1.098612289,1.773255998,4.394449155,0,7.972810784,5.666426688,2.40418856,7.534228326,3.044522438,4.890349128,6.306275287,5.159055299,5.068904202,2.374905755,4.770684624,0,2.053755577,6.609349243,1.098612289,6.955621207,741,381.7655172,3.132532824,374.18,2839.06
BBG0325,1.508196721,0,7,1,22,0.090163934,0.1,14.5433526,806,0.445661331,0.498608903,0,0.494236884,0.2,349,112,3.116071429,220,1,29,65,19,15,0,0.2,153.5833333,8.333333333,100,37.5,0,0.8,9.791577674,15.519766,2.445045049,0,0,22,0.9,2.2,0,9,1,0,0,0,0.919564057,0,2.079441542,0.693147181,3.135494216,0,5.857933154,4.727387819,1.414899172,5.398162702,0.693147181,3.401197382,4.189654742,2.995732274,2.772588722,2.233592222,4.615120517,0,1.236936981,0,0,3.135494216,0,33,3.23168867,15,44
BBS0039,2,1,0,2,0,0,0.1,10.69426752,328,0.495429616,0.422870756,0,0,0.2,1,1,1,0,1,0,0,0,0,0,0,108.3333333,10.4,104,30.33333333,0,1,10.967681,13.03250838,7.435171657,362,0,504,1.5,2.8,0,14,8,3,0,0,1.098612289,0.693147181,0,1.098612289,0,0,0.693147181,0.693147181,0.693147181,0,0.693147181,0,0,0,0,2.433613355,4.65396035,0,2.132410066,5.894402834,0,6.224558429,362,3,2.240477882,3,1370
BBS0422,1.232,1,3,1,28,0.224,0,8.827848101,557,0.321653819,0.551190135,27,0.492113565,0.4,499,105,4.752380952,321,4,33,92,28,21,0.002004008,0.6,90.28571429,5,5,26.92857143,0,0.4,8.688954708,16.07746653,3.910334715,68,69,30,1.8,3.2,0,14,1,2,0,0,0.802898045,0.693147181,1.386294361,0.693147181,3.36729583,3.33220451,6.214608098,4.663439094,1.749613848,5.774551546,1.609437912,3.526360525,4.532599493,3.36729583,3.091042453,1.791759469,1.791759469,0,1.591342109,4.234106505,4.248495242,3.433987204,95,54.02004008,1.565110482,8,197
BDI0533,2.190023753,0,4,1,36,0.085510689,0,2.912751678,289,0.467726848,0.542242704,0,0.729646697,0.6,2458,346.22,6.145,1605,14,117,483,115,124,0,0.6,28.3125,1.4,14,19.375,0,0,11.06234468,16.50453811,2.406223013,0,187,65,1.2,2.4,0,9,1,6,0,0,1.160028363,0,1.609437912,0.693147181,3.610917913,0,7.807510042,5.849958585,1.966412811,7.381501895,2.708050201,4.770684624,6.182084907,4.753590191,4.828313737,0.875468737,2.708050201,0,1.225604057,0,5.236441963,4.189654742,0,290,0.738736363,9,317
BDV0168,4,15,0,1,1,0.25,0.2,14.70909091,427,0.417289487,0.348578492,0,0,0.2,36,2,18,22,0,4,6,3,1,0.888888889,0.6,153.25,12.36363636,136,34.91666667,0,1,7.802169934,15.68855392,1.426622579,5,0,0,0.6,2.6,0,5,7,4,1,0,1.609437912,2.772588722,0,0.693147181,0.693147181,0,3.610917913,1.098612289,2.944438979,3.135494216,0,1.609437912,1.945910149,1.386294361,0.693147181,2.592537314,4.919980926,0,0.886500405,1.791759469,0,0,5,10.88888889,2.139557005,16,5
BEH0615,1.588709677,0,8,1,30,0.120967742,0.1,14.55397727,824,0.29969055,0.532890884,0,0.495217646,0.4,268,102,2.62745098,169,3,11,58,12,15,0,0.6,152.5833333,11,132,32.33333333,0,1,10.20610507,16.37844212,2.549038927,0,2,53,1.2,3.3,0,12,1,1,0,0,0.951159558,0,2.197224577,0.693147181,3.433987204,0,5.59471138,4.634728988,1.288530192,5.135798437,1.386294361,2.48490665,4.077537444,2.564949357,2.772588722,2.48490665,4.890349128,0,1.266676842,0,1.098612289,3.988984047,0,39,2.324304549,17,108
BIH0745,2.75,9,0,1,0,0,0.2,14.49305556,396,0.595099183,0.703881169,0,0,0.6,41,3,13.66666667,25,0,6,7,1,2,0.975609756,0.6,152.5,10.16666667,122,49.25,0,1,8.075837087,16.85392455,1.527040249,4,0,0,0.6,3,0,21,6,1,1,0,1.32175584,2.302585093,0,0.693147181,0,0,3.737669618,1.386294361,2.685577345,3.258096538,0,1.945910149,2.079441542,0.693147181,1.098612289,2.41293315,4.812184355,0,0.927048756,1.609437912,0,0,4,13.75609756,6.070838195,10,4
BIS0247,1.208333333,0,0,1,20,0.208333333,0,8.674418605,508,0.410688592,0.200402145,0,0.505697051,0.4,418,85,4.917647059,271,4,15,81,23,24,0,0.6,83.91666667,1,1,26.75,33.00666667,0.2,10.00609438,15.85109269,3.341406037,43,6,0,1.2,2.4,0,9,1,4,0,0,0.792238083,0,0,0.693147181,3.044522438,0,6.03787092,4.454347296,1.777938914,5.605802066,1.609437912,2.772588722,4.406719247,3.17805383,3.218875825,0.693147181,0.693147181,3.526556584,1.468198267,3.784189634,1.945910149,0,2848.566667,60,0.713929587,1,49
BJM0111,7.932065217,19,17,1,105.01,0.307065217,0.5,2.956284153,231,0.327124563,0.658040665,0,0,0.4,7841,346.22,21.30706522,5006,55,404,1586,389,401,0.005228925,0.8,27.15384615,0,0,15.69230769,0,0,9.032787204,16.32420563,3.056244337,59,34,0,1.2,2.9,0,11,1,0,0,0,2.189647635,2.995732274,2.890371758,0.693147181,4.663533429,0,8.967249183,5.849958585,3.104903454,8.518592212,4.025351691,6.003887067,7.369600721,5.966146739,5.996452089,0,0,0,1.400257505,4.094344562,3.555348061,0,59,967.0522892,0.636373468,54,93
BJP0134,8.604046243,0,14,1,4,0.011560694,0.1,1,127,0.415162455,0.612426036,0,0.452662722,0.4,8072,346,23.32947977,5180,57.01,420,1628,425,357,0,0.8,9.416666667,1,1,8.166666667,0,0,11.03310705,17.95110874,2.450284882,0,0,5,0.9,2.2,0,9,1,0,0,0,2.262184493,0,2.708050201,0.693147181,1.609437912,0,8.996280439,5.84932478,3.191688774,8.552753367,4.060615409,6.042632834,7.395721609,6.054439346,5.880532986,0.693147181,0.693147181,0,1.238456802,0,0,1.791759469,0,885.03,0.254256296,29,10
BLS0678,1.333333333,3,0,1,1,0.333333333,0.2,8.645,331,0.449841605,0.67611336,0,0,0.4,5,1,5,3,0,0,2,0,0,1,0.4,89.41666667,1.666666667,5,31.16666667,0,0,10.09093503,15.87472087,2.597327703,3,0,0,0.9,1.9,0,21,9,4,1,0,0.84729786,1.386294361,0,0.693147181,0.693147181,0,1.791759469,0.693147181,1.791759469,1.386294361,0,0,1.098612289,0,0,0.980829253,1.791759469,0,1.280191265,1.386294361,0,0,3,10,2.629324182,4,3
BMG0917,8.615606936,105,7,1,2,0.005780347,0.3,8.808695652,548,0.316237624,0.203027312,238,0,0.4,7692,346,22.23121387,4913,57.01,383,1536,409,388,0.046411856,0.8,94.41666667,2.333333333,7,30.75,8.6,0.2,10.47154389,18.81000303,2.843716829,18,3,0,1.2,2.9,0,8,1,0,0,0,2.263387501,4.663439094,2.079441542,0.693147181,1.098612289,5.476463552,8.948066103,5.84932478,3.1454968,8.499843553,4.060615409,5.950642553,7.337587744,6.01615716,5.963579344,1.203972804,2.079441542,2.261763098,1.346439823,2.944438979,1.386294361,0,3231.6,947.4941186,0.5655612,120,21
BMT0528,2.200617284,0,6,1,27,0.083333333,0.1,2.944606414,248,0.396158463,0.76039604,0,0,0.4,1903,314,6.060509554,1235,19,93,335,119,102,0,0.6,26.75,1.285714286,9,15.83333333,0,0,9.190892324,16.68708483,0.990789405,0,0,26,0.6,1.7,0,15,1,0,0,0,1.163343692,0,1.945910149,0.693147181,3.33220451,0,7.551712215,5.752572639,1.954517224,7.119635638,2.995732274,4.543294782,5.81711116,4.787491743,4.634728988,0.826678573,2.302585093,0,0.688531246,0,0,3.295836866,0,261,0.887025364,13,52
BQS0525,8.020408163,0,4,1,18,0.367346939,0.2,2.897959184,87,0.376569038,0.535211268,0,0,0.2,57,22,2.590909091,37,0,4,14,1,1,0,0,25.83333333,1.285714286,9,15,0,0,9.547182539,16.6462996,1.815417627,0,16,7,0.9,1.3,0,9,1,5,0,0,2.199489584,0,1.609437912,0.693147181,2.944438979,0,4.060443011,3.135494216,1.278405399,3.63758616,0,1.609437912,2.708050201,0.693147181,0.693147181,0.826678573,2.302585093,0,1.035110608,0,2.833213344,2.079441542,0,2,0.584066262,9,30
BRB0355,2.133016627,0,4,1,29,0.06888361,0,9.710176991,684,0.322585109,0.551606288,0,0.502620187,0.6,712,235,3.029787234,453,5,39,143,31,41,0,0.6,95.33333333,1,2,31.55555556,0,0,11.30330787,16.11491708,2.539628672,0,214,148,1.2,2.4,0,14,1,5,0,0,1.141996319,0,1.609437912,0.693147181,3.401197382,0,6.56948142,5.463831805,1.393713579,6.118097198,1.791759469,3.688879454,4.9698133,3.465735903,3.737669618,0.693147181,1.098612289,0,1.264021827,0,5.370638028,5.003946306,0,97,1.72782865,9,510
BRM0995,8.592485549,365.29,14,1,3,0.00867052,0.3,8.874635569,503,0.422437673,0.546977661,546.25,0.507555848,0.8,590,177,3.333333333,380,3,29,117,31,30,0.208474576,0.8,93.25,4,40,32,18.18181818,0.6,11.55362323,21.06628686,2.792258821,14,0,27,1.5,4,0,9,1,0,0,1,2.260980037,5.903425369,2.708050201,0.693147181,1.386294361,6.304905736,6.381816017,5.18178355,1.466337069,5.942799375,1.386294361,3.401197382,4.770684624,3.465735903,3.433987204,1.609437912,3.713572067,2.953962861,1.332961837,2.708050201,0,3.33220451,3778.431818,71.08474576,2.05060853,394.29,68
BRS0734,1.706666667,0,0,1,12,0.16,0,13.60909091,302,0.299958966,0.621910488,0,0.509686039,0.6,1845,75,24.6,1187,13,108,351,98,88,0,0.8,152.6666667,8.571428571,120,30.6,0,1,7.937878788,17.03969697,0.104825205,0,17,0,0.3,2.7,0,13,1,5,0,0,0.995717866,0,0,0.693147181,2.564949357,0,7.520776415,4.33073334,3.242592351,7.0800265,2.63905733,4.691347882,5.863631176,4.59511985,4.48863637,2.25878247,4.795790546,0,0.099687137,0,2.890371758,0,0,215,2.538743612,1,17
BSS0369,8.641647399,365.29,8,4.89,29,0.121848739,0.5,9.70464135,406,0.384231275,0.213478261,0,0.504782609,0.4,2295,223,10.29147982,1491,27,117,439,115,106,0.444444444,0.8,114.0666667,4.785714286,67,35.2,0,0.8,11.22274746,13.37398302,7.065843085,451,180,720,1.8,4.3,0,1,1,6,1,1,2.266091986,5.903425369,2.197224577,1.773255998,3.401197382,0,7.738923757,5.411646052,2.424048443,7.307872781,3.33220451,4.770684624,6.086774727,4.753590191,4.672828834,1.755391825,4.219507705,0,2.087638242,6.11368218,5.198497031,6.580639137,451,297.4444444,0.796023442,386.18,2071
BTL0226,2,7,0,1,1,0.25,0.2,8.82464455,364,0.415359477,0.523093448,11,0.497851772,0.4,4,2,2,2,0,1,1,0,0,1,0.4,88.83333333,4.75,38,26.75,1.666666667,0.6,10.1596798,18.40587367,2.885363867,5,0,23,1.5,3.1,0,5,10,2,1,0,1.098612289,2.079441542,0,0.693147181,0.693147181,2.48490665,1.609437912,1.098612289,1.098612289,1.098612289,0,0.693147181,0.693147181,0,0,1.749199855,3.663561646,0.980829253,1.357216639,1.791759469,0,3.17805383,19.33333333,10,1.917346591,8,51
BTR0403,1.610169492,0,4,1,28,0.118644068,0,8.704347826,523,0.505862991,0.194139194,46,0.486513487,0.4,520,155,3.35483871,337,1,27,94,20,41,0.001923077,0.2,88.91666667,4.090909091,45,37.58333333,3,0.6,10.7649782,18.66018845,3.323072487,4,0,80,1.5,2.7,0,14,1,0,0,0,0.959415159,0,1.609437912,0.693147181,3.36729583,3.850147602,6.255750042,5.049856007,1.471287574,5.823045895,0.693147181,3.33220451,4.553876892,3.044522438,3.737669618,1.627456418,3.828641396,1.386294361,1.463966373,1.609437912,0,4.394449155,515,85.01923077,0.854835142,9,164
BVC0790,2.17037037,8,9,1,33,0.081481481,0.3,8.762790698,635,0.461140734,0.545382166,11,0.500530786,0.6,975,265,3.679245283,625,11,41,192,60,46,0.009230769,0.6,89.93333333,2.5,35,32.13333333,24,0.2,11.39915654,16.26731378,3.272892476,47,192,136,1.8,3.5,0,10,1,6,0,1,1.153848417,2.197224577,2.302585093,0.693147181,3.526360525,2.48490665,6.883462586,5.583496309,1.543136833,6.439350371,2.48490665,3.737669618,5.262690189,4.110873864,3.850147602,1.252762968,3.583518938,3.218875825,1.452290993,3.871201011,5.262690189,4.919980926,6418,125.0923077,2.203823738,27,511
BWP0202,1.252427184,2,1,1,23,0.223300971,0,10.6173913,574,0.427594261,0.498771499,0,0.658476658,0.4,627,99,6.333333333,384,4,38,116,48,37,0.015948963,0.6,106.75,11.08333333,133,34.41666667,30,1.2,9.879266293,14.71312761,3.846717868,68,7,115,1.8,4,0,13,1,1,0,1,0.812008383,1.098612289,0.693147181,0.693147181,3.17805383,0,6.442540166,4.605170186,1.992430165,5.953243334,1.609437912,3.663561646,4.762173935,3.891820298,3.63758616,2.491827093,4.8978398,3.433987204,1.578301748,4.234106505,2.079441542,4.753590191,3038,86.15948963,2.264390477,5,305
