user,avg_daily_device_connections,late_hour_device_use,missing_disconnects,distinct_pcs_used,above_avg_daily_counter,ratio_of_above_avg_days,risk_score_1,emails_sent_per_day,unique_recipients_count,external_emails_ratio,attachment_count_avg,emails_sent_off_hours,bcc_usage_rate,risk_score_2,total_files_copied,active_days,avg_files_copied_per_day,filetype_doc,filetype_exe,filetype_jpg,filetype_pdf,filetype_txt,filetype_zip,after_hours_file_copy_ratio,risk_score_3,avg_urls_per_day,avg_malicious_urls_per_day,total_malicious_urls,avg_distinct_domains_per_day,avg_after_hours_browsing_per_day,risk_score_4,avg_logon_time_hours,avg_logoff_time_hours,logon_std_dev_hours,after_hours_logons,weekend_logons,logons_on_other_user_pcs,risk_score_5,total_risk_score,never_used_device,onboarding_hour,onboarding_month,onboarding_weekday,odd_onboarding,label,avg_daily_device_connections_log,late_hour_device_use_log,missing_disconnects_log,distinct_pcs_used_log,above_avg_daily_counter_log,emails_sent_off_hours_log,total_files_copied_log,active_days_log,avg_files_copied_per_day_log,filetype_doc_log,filetype_exe_log,filetype_jpg_log,filetype_pdf_log,filetype_txt_log,filetype_zip_log,avg_malicious_urls_per_day_log,total_malicious_urls_log,avg_after_hours_browsing_per_day_log,logon_std_dev_hours_log,after_hours_logons_log,weekend_logons_log,logons_on_other_user_pcs_log,after_hours_intensity,file_risk_composite,email_exfil_score,device_anomaly_score,logon_suspicion,anomaly,anomaly_score,risk_score,risk_level
AJN0607,3.002906977,0.0,5,1.0,100.0,0.290697674,0.0,14.55652174,812.0,0.456355469,0.740143369,0.0,0.0,0.4,820.0,233.0,3.519313305,521.0,12.0,41.0,164.0,38.0,44.0,0.0,0.6,152.4166667,12.18181818,134.0,37.41666667,0.0,1.0,10.33698759,15.98632432,2.597461272,0.0,0.0,110.0,0.9,2.9,0,8,1,0,0,0,1.387020841,0.0,1.791759469,0.693147181,4.615120517,0.0,6.710523109,5.455321115,1.508360059,6.257667588,2.564949357,3.737669618,5.105945474,3.663561646,3.80666249,2.57883847,4.905274778,0.0,1.280228395,0.0,0.0,4.709530201,0.0,124.0,4.916734142,11.0,220.0,1,0.08733411749182396,34.08912700012537,Low
AJR0932,6.333333333,18.0,0,1.0,0.0,0.0,0.2,8.809278351,304.0,0.378123868,0.0,0.0,0.0,0.2,47.0,2.0,23.5,34.0,0.0,2.0,9.0,1.0,1.0,0.829787234,0.6,87.66666667,2.571428571,18.0,34.41666667,0.0,0.0,7.316228364,16.11690955,1.504591471,4.0,0.0,0.0,0.6,1.6,0,4,9,4,1,0,1.992430165,2.944438979,0.0,0.693147181,0.0,0.0,3.871201011,1.098612289,3.198673118,3.555348061,0.0,1.098612289,2.302585093,0.693147181,0.693147181,1.272965676,2.944438979,0.0,0.918125636,1.609437912,0.0,0.0,4.0,10.29787234,0.0,19.0,4.0,1,0.05399060052043281,42.07788556747909,Low
AKR0057,2.239631336,0.0,6,1.0,19.0,0.087557604,0.1,10.69130435,425.0,0.394625529,0.181374542,19.0,0.504676698,0.4,540.0,153.0,3.529411765,357.0,4.0,27.0,95.0,21.0,36.0,0.0,0.6,109.0833333,8.0,80.0,27.91666667,1.0,0.8,10.10263789,18.90576589,2.641183101,0.0,0.0,12.0,0.9,2.8,0,11,1,0,0,0,1.175459538,0.0,1.945910149,0.693147181,2.995732274,2.995732274,6.293419279,5.036952602,1.510592078,5.880532986,1.609437912,3.33220451,4.564348191,3.091042453,3.610917913,2.197224577,4.394449155,0.693147181,1.292308657,0.0,0.0,2.564949357,172.0,84.0,0.765230373,13.0,24.0,1,0.1297434867892786,23.928284860953358,Low
AMR0318,1.247787611,2.0,1,1.0,27.0,0.238938053,0.0,14.37572254,736.0,0.278438662,0.202452754,0.0,0.0,0.2,230.0,74.0,3.108108108,139.0,4.0,12.0,43.0,16.0,16.0,0.0,0.6,154.0833333,12.72727273,140.0,33.5,33.00666667,1.2,9.859063096,15.21794579,2.948387539,19.0,2.0,0.0,1.2,3.2,0,8,1,0,0,0,0.809946448,1.098612289,0.693147181,0.693147181,3.33220451,0.0,5.442417711,4.317488114,1.412962608,4.941642423,1.609437912,2.564949357,3.784189634,2.833213344,2.833213344,2.619384564,4.94875989,3.526556584,1.373307277,2.995732274,1.098612289,0.0,2461.493333,44.0,0.810369169,5.0,21.0,1,0.014272884285189802,51.59383573321181,Medium
ANM0123,1.526315789,0.0,1,1.0,2.0,0.105263158,0.0,10.8,77.0,0.535632184,0.681481481,15.0,0.496296296,0.4,47.0,12.0,3.916666667,31.0,0.0,2.0,11.0,1.0,2.0,0.0,0.2,106.3333333,5.666666667,68.0,31.91666667,6.444444444,1.0,10.79948333,18.42022569,3.164256203,0.0,0.0,7.0,0.9,2.5,0,10,1,0,0,0,0.926762032,0.0,0.693147181,0.693147181,1.098612289,2.772588722,3.871201011,2.564949357,1.592630794,3.465735903,0.0,1.098612289,2.48490665,0.693147181,1.098612289,1.897119985,4.234106505,2.007468042,1.426537677,0.0,0.0,2.079441542,92.33333333,4.0,3.942252874,3.0,14.0,1,0.11053073695375853,28.53145914465673,Low
AOK0844,1.48540146,7.0,5,1.0,21.0,0.076642336,0.2,1.0,128.0,0.357605178,0.57027027,42.0,0.0,0.4,1321.0,259.0,5.1003861,841.0,6.0,57.0,262.0,75.0,80.0,0.031037093,0.6,9.666666667,1.0,1.0,7.888888889,1.307692308,0.2,10.7944396,18.74461048,3.037838014,23.0,209.0,38.0,1.8,3.2,0,19,1,5,0,0,0.9104342,2.079441542,1.791759469,0.693147181,3.091042453,3.761200116,7.18690102,5.560681631,1.808352064,6.735780014,1.945910149,4.060443011,5.572154032,4.33073334,4.394449155,0.693147181,0.693147181,0.836248024,1.395709404,3.17805383,5.347107531,3.663561646,403.6923077,178.3103709,0.203931602,18.0,308.0,1,0.04280503910741129,44.75782930723537,Low
ATE0869,1.25,0.0,1,1.0,41.0,0.244047619,0.0,15.53512397,1011.37,0.468514466,0.60260673,5.0,0.741055991,0.8,522.0,137.0,3.810218978,337.0,2.0,28.0,102.0,26.0,27.0,0.0,0.6,147.3333333,10.88888889,196.0,43.44444444,0.0,1.0,9.882000431,17.29275869,2.665097341,10.0,233.08,29.0,1.8,4.2,0,13,1,6,0,1,0.810930216,0.0,0.693147181,0.693147181,3.737669618,1.791759469,6.259581464,4.927253685,1.570742609,5.823045895,1.098612289,3.36729583,4.634728988,3.295836866,3.33220451,2.475604257,5.283203729,0.0,1.298854895,2.397895273,5.455662937,3.401197382,15.0,60.0,4.386031089,3.0,301.08,1,0.00913953376480714,52.82373292684387,Medium
ATP0662,1.563492063,0.0,4,1.0,22.0,0.087301587,0.0,13.68096515,806.0,0.466035701,0.748383304,72.0,0.487948266,0.6,1273.0,236.0,5.394067797,827.0,6.0,64.0,248.0,64.0,64.0,0.0,0.6,135.0,3.083333333,37.0,38.61538462,3.0,0.6,11.18847367,16.65269079,3.756051924,68.0,48.0,23.0,1.8,3.6,0,13,1,0,0,1,0.941370416,0.0,1.609437912,0.693147181,3.135494216,4.290459441,7.149916836,5.468060141,1.855370654,6.719013154,1.945910149,4.17438727,5.517452896,4.17438727,4.17438727,1.406913648,3.63758616,1.386294361,1.559417896,4.234106505,3.891820298,3.17805383,848.0,146.0,4.771555882,9.0,162.0,1,0.06776638304702665,38.777351890250245,Low
AVM0947,8.641647399,0.0,12,1.0,3.0,0.00867052,0.1,1.0,136.0,0.310645724,0.21958457,0.0,0.0,0.2,7701.0,346.0,22.25722543,4901.0,57.0,429.01,1520.0,388.0,403.0,0.0,0.8,8.5,1.571428571,11.0,6.333333333,0.0,0.0,7.347648148,15.71228667,0.836839875,0.0,0.0,29.0,0.6,1.7,0,7,1,0,0,0,2.266091986,0.0,2.564949357,0.693147181,1.386294361,0.0,8.949235314,5.84932478,3.146615855,8.497398564,4.060443011,6.063808464,7.327123292,5.963579344,6.001414878,0.944461609,2.48490665,0.0,0.608046636,0.0,0.0,3.401197382,0.0,977.0,0.068213008,25.0,58.0,-1,-0.020122037290861372,59.834499867408994,Medium
BAJ0654,1.206896552,13.0,1,1.0,22.0,0.189655172,0.2,2.9,244.0,0.337871287,0.524340771,223.0,0.0,0.6,2919.0,116.0,25.06456166,1874.0,16.0,152.0,584.0,146.0,147.0,0.12915382,1.0,27.0,1.5,9.0,14.25,5.727272727,0.2,10.27233749,20.99414161,3.05262439,24.0,0.0,42.0,1.5,3.5,0,16,1,0,0,1,0.791587253,2.63905733,0.693147181,0.693147181,3.135494216,5.411646052,7.979338895,4.762173935,3.260576601,7.536363938,2.833213344,5.030437921,6.371611847,4.990432587,4.997212274,0.916290732,2.302585093,1.90616982,1.399364669,3.218875825,0.0,3.761200116,911.3636364,343.2915382,0.513763104,16.0,108.0,1,0.008868043199736775,52.88877923193287,Medium
BAL0044,3.294460641,365.29,2,4.89,80.0,0.233236152,0.4,10.74418605,579.0,0.445653967,0.654220779,0.0,0.49512987,0.4,2900.0,288.0,10.06944444,1870.0,20.0,132.0,547.0,173.0,158.0,0.576551724,0.8,112.1666667,9.75,117.0,34.25,0.0,1.0,11.25211088,13.10589558,6.797128907,741.0,2.0,1048.03,1.8,4.4,0,5,1,0,1,1,1.457325969,5.903425369,1.098612289,1.773255998,4.394449155,0.0,7.972810784,5.666426688,2.40418856,7.534228326,3.044522438,4.890349128,6.306275287,5.159055299,5.068904202,2.374905755,4.770684624,0.0,2.053755577,6.609349243,1.098612289,6.955621207,741.0,381.7655172,3.132532824,374.18,2839.06,-1,-0.16097777906730582,93.58206509404698,High
BBG0325,1.508196721,0.0,7,1.0,22.0,0.090163934,0.1,14.5433526,806.0,0.445661331,0.498608903,0.0,0.494236884,0.2,349.0,112.0,3.116071429,220.0,1.0,29.0,65.0,19.0,15.0,0.0,0.2,153.5833333,8.333333333,100.0,37.5,0.0,0.8,9.791577674,15.519766,2.445045049,0.0,0.0,22.0,0.9,2.2,0,9,1,0,0,0,0.919564057,0.0,2.079441542,0.693147181,3.135494216,0.0,5.857933154,4.727387819,1.414899172,5.398162702,0.693147181,3.401197382,4.189654742,2.995732274,2.772588722,2.233592222,4.615120517,0.0,1.236936981,0.0,0.0,3.135494216,0.0,33.0,3.23168867,15.0,44.0,1,0.12980565982856218,23.913388849813884,Low
BBS0039,2.0,1.0,0,2.0,0.0,0.0,0.1,10.69426752,328.0,0.495429616,0.422870756,0.0,0.0,0.2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,108.3333333,10.4,104.0,30.33333333,0.0,1.0,10.967681,13.03250838,7.435171657,362.0,0.0,504.0,1.5,2.8,0,14,8,3,0,0,1.098612289,0.693147181,0.0,1.098612289,0.0,0.0,0.693147181,0.693147181,0.693147181,0.0,0.693147181,0.0,0.0,0.0,0.0,2.433613355,4.65396035,0.0,2.132410066,5.894402834,0.0,6.224558429,362.0,3.0,2.240477882,3.0,1370.0,1,0.035545090934041346,46.49723709731089,Medium
BBS0422,1.232,1.0,3,1.0,28.0,0.224,0.0,8.827848101,557.0,0.321653819,0.551190135,27.0,0.492113565,0.4,499.0,105.0,4.752380952,321.0,4.0,33.0,92.0,28.0,21.0,0.002004008,0.6,90.28571429,5.0,5.0,26.92857143,0.0,0.4,8.688954708,16.07746653,3.910334715,68.0,69.0,30.0,1.8,3.2,0,14,1,2,0,0,0.802898045,0.693147181,1.386294361,0.693147181,3.36729583,3.33220451,6.214608098,4.663439094,1.749613848,5.774551546,1.609437912,3.526360525,4.532599493,3.36729583,3.091042453,1.791759469,1.791759469,0.0,1.591342109,4.234106505,4.248495242,3.433987204,95.0,54.02004008,1.565110482,8.0,197.0,1,0.12223811525604517,25.72649352588622,Low
BDI0533,2.190023753,0.0,4,1.0,36.0,0.085510689,0.0,2.912751678,289.0,0.467726848,0.542242704,0.0,0.729646697,0.6,2458.0,346.22,6.145,1605.0,14.0,117.0,483.0,115.0,124.0,0.0,0.6,28.3125,1.4,14.0,19.375,0.0,0.0,11.06234468,16.50453811,2.406223013,0.0,187.0,65.0,1.2,2.4,0,9,1,6,0,0,1.160028363,0.0,1.609437912,0.693147181,3.610917913,0.0,7.807510042,5.849958585,1.966412811,7.381501895,2.708050201,4.770684624,6.182084907,4.753590191,4.828313737,0.875468737,2.708050201,0.0,1.225604057,0.0,5.236441963,4.189654742,0.0,290.0,0.738736363,9.0,317.0,1,0.06509568298141849,39.41722374444802,Low
BDV0168,4.0,15.0,0,1.0,1.0,0.25,0.2,14.70909091,427.0,0.417289487,0.348578492,0.0,0.0,0.2,36.0,2.0,18.0,22.0,0.0,4.0,6.0,3.0,1.0,0.888888889,0.6,153.25,12.36363636,136.0,34.91666667,0.0,1.0,7.802169934,15.68855392,1.426622579,5.0,0.0,0.0,0.6,2.6,0,5,7,4,1,0,1.609437912,2.772588722,0.0,0.693147181,0.693147181,0.0,3.610917913,1.098612289,2.944438979,3.135494216,0.0,1.609437912,1.945910149,1.386294361,0.693147181,2.592537314,4.919980926,0.0,0.886500405,1.791759469,0.0,0.0,5.0,10.88888889,2.139557005,16.0,5.0,1,0.02575425284992594,48.84301968806639,Medium
BEH0615,1.588709677,0.0,8,1.0,30.0,0.120967742,0.1,14.55397727,824.0,0.29969055,0.532890884,0.0,0.495217646,0.4,268.0,102.0,2.62745098,169.0,3.0,11.0,58.0,12.0,15.0,0.0,0.6,152.5833333,11.0,132.0,32.33333333,0.0,1.0,10.20610507,16.37844212,2.549038927,0.0,2.0,53.0,1.2,3.3,0,12,1,1,0,0,0.951159558,0.0,2.197224577,0.693147181,3.433987204,0.0,5.59471138,4.634728988,1.288530192,5.135798437,1.386294361,2.48490665,4.077537444,2.564949357,2.772588722,2.48490665,4.890349128,0.0,1.266676842,0.0,1.098612289,3.988984047,0.0,39.0,2.324304549,17.0,108.0,1,0.10151759933325188,30.690912823353557,Low
BIH0745,2.75,9.0,0,1.0,0.0,0.0,0.2,14.49305556,396.0,0.595099183,0.703881169,0.0,0.0,0.6,41.0,3.0,13.66666667,25.0,0.0,6.0,7.0,1.0,2.0,0.975609756,0.6,152.5,10.16666667,122.0,49.25,0.0,1.0,8.075837087,16.85392455,1.527040249,4.0,0.0,0.0,0.6,3.0,0,21,6,1,1,0,1.32175584,2.302585093,0.0,0.693147181,0.0,0.0,3.737669618,1.386294361,2.685577345,3.258096538,0.0,1.945910149,2.079441542,0.693147181,1.098612289,2.41293315,4.812184355,0.0,0.927048756,1.609437912,0.0,0.0,4.0,13.75609756,6.070838195,10.0,4.0,1,0.010004869844681297,52.61640743602458,Medium
BIS0247,1.208333333,0.0,0,1.0,20.0,0.208333333,0.0,8.674418605,508.0,0.410688592,0.200402145,0.0,0.505697051,0.4,418.0,85.0,4.917647059,271.0,4.0,15.0,81.0,23.0,24.0,0.0,0.6,83.91666667,1.0,1.0,26.75,33.00666667,0.2,10.00609438,15.85109269,3.341406037,43.0,6.0,0.0,1.2,2.4,0,9,1,4,0,0,0.792238083,0.0,0.0,0.693147181,3.044522438,0.0,6.03787092,4.454347296,1.777938914,5.605802066,1.609437912,2.772588722,4.406719247,3.17805383,3.218875825,0.693147181,0.693147181,3.526556584,1.468198267,3.784189634,1.945910149,0.0,2848.566667,60.0,0.713929587,1.0,49.0,1,0.06554305449952935,39.31003819916903,Low
BJM0111,7.932065217,19.0,17,1.0,105.01,0.307065217,0.5,2.956284153,231.0,0.327124563,0.658040665,0.0,0.0,0.4,7841.0,346.22,21.30706522,5006.0,55.0,404.0,1586.0,389.0,401.0,0.005228925,0.8,27.15384615,0.0,0.0,15.69230769,0.0,0.0,9.032787204,16.32420563,3.056244337,59.0,34.0,0.0,1.2,2.9,0,11,1,0,0,0,2.189647635,2.995732274,2.890371758,0.693147181,4.663533429,0.0,8.967249183,5.849958585,3.104903454,8.518592212,4.025351691,6.003887067,7.369600721,5.966146739,5.996452089,0.0,0.0,0.0,1.400257505,4.094344562,3.555348061,0.0,59.0,967.0522892,0.636373468,54.0,93.0,-1,-0.06367558395132633,70.269474957798,Medium
BJP0134,8.604046243,0.0,14,1.0,4.0,0.011560694,0.1,1.0,127.0,0.415162455,0.612426036,0.0,0.452662722,0.4,8072.0,346.0,23.32947977,5180.0,57.01,420.0,1628.0,425.0,357.0,0.0,0.8,9.416666667,1.0,1.0,8.166666667,0.0,0.0,11.03310705,17.95110874,2.450284882,0.0,0.0,5.0,0.9,2.2,0,9,1,0,0,0,2.262184493,0.0,2.708050201,0.693147181,1.609437912,0.0,8.996280439,5.84932478,3.191688774,8.552753367,4.060615409,6.042632834,7.395721609,6.054439346,5.880532986,0.693147181,0.693147181,0.0,1.238456802,0.0,0.0,1.791759469,0.0,885.03,0.254256296,29.0,10.0,-1,-0.010125124508142402,57.43934393024266,Medium
BLS0678,1.333333333,3.0,0,1.0,1.0,0.333333333,0.2,8.645,331.0,0.449841605,0.67611336,0.0,0.0,0.4,5.0,1.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.4,89.41666667,1.666666667,5.0,31.16666667,0.0,0.0,10.09093503,15.87472087,2.597327703,3.0,0.0,0.0,0.9,1.9,0,21,9,4,1,0,0.84729786,1.386294361,0.0,0.693147181,0.693147181,0.0,1.791759469,0.693147181,1.791759469,1.386294361,0.0,0.0,1.098612289,0.0,0.0,0.980829253,1.791759469,0.0,1.280191265,1.386294361,0.0,0.0,3.0,10.0,2.629324182,4.0,3.0,1,0.11557787838764777,27.32221674814458,Low
BMG0917,8.615606936,105.0,7,1.0,2.0,0.005780347,0.3,8.808695652,548.0,0.316237624,0.203027312,238.0,0.0,0.4,7692.0,346.0,22.23121387,4913.0,57.01,383.0,1536.0,409.0,388.0,0.046411856,0.8,94.41666667,2.333333333,7.0,30.75,8.6,0.2,10.47154389,18.81000303,2.843716829,18.0,3.0,0.0,1.2,2.9,0,8,1,0,0,0,2.263387501,4.663439094,2.079441542,0.693147181,1.098612289,5.476463552,8.948066103,5.84932478,3.1454968,8.499843553,4.060615409,5.950642553,7.337587744,6.01615716,5.963579344,1.203972804,2.079441542,2.261763098,1.346439823,2.944438979,1.386294361,0.0,3231.6,947.4941186,0.5655612,120.0,21.0,-1,-0.0896024086981605,76.48127149678523,High
BMT0528,2.200617284,0.0,6,1.0,27.0,0.083333333,0.1,2.944606414,248.0,0.396158463,0.76039604,0.0,0.0,0.4,1903.0,314.0,6.060509554,1235.0,19.0,93.0,335.0,119.0,102.0,0.0,0.6,26.75,1.285714286,9.0,15.83333333,0.0,0.0,9.190892324,16.68708483,0.990789405,0.0,0.0,26.0,0.6,1.7,0,15,1,0,0,0,1.163343692,0.0,1.945910149,0.693147181,3.33220451,0.0,7.551712215,5.752572639,1.954517224,7.119635638,2.995732274,4.543294782,5.81711116,4.787491743,4.634728988,0.826678573,2.302585093,0.0,0.688531246,0.0,0.0,3.295836866,0.0,261.0,0.887025364,13.0,52.0,1,0.1313508794689759,23.54317035572432,Low
